epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,40842.5,0.88215,0.73299,1.36812,0.89683,0.88323,0.92414,0.66486,0.99729,0.65139,1.57873,0.0005941,0.0005941,0.0005941
43,41678.3,0.87182,0.73716,1.35702,0.89932,0.88286,0.9242,0.67481,0.99584,0.6494,1.55775,0.0005842,0.0005842,0.0005842
44,42497.9,0.86436,0.72494,1.35137,0.88182,0.86858,0.92761,0.66974,1.00365,0.71084,1.57521,0.0005743,0.0005743,0.0005743
45,43219.1,0.8606,0.71785,1.34497,0.90972,0.89099,0.93408,0.64992,1.06464,0.62208,1.65276,0.0005644,0.0005644,0.0005644
46,43875.8,0.87994,0.72,1.36364,0.88792,0.90277,0.91054,0.66522,0.94959,0.63909,1.51582,0.0005545,0.0005545,0.0005545
47,44461.8,0.85254,0.71187,1.34801,0.90367,0.89271,0.92778,0.64851,1.05252,0.70855,1.61219,0.0005446,0.0005446,0.0005446
48,45050.4,0.85676,0.71363,1.35213,0.90147,0.902,0.94401,0.70302,0.93542,0.5876,1.49489,0.0005347,0.0005347,0.0005347
49,45637.1,0.85573,0.69557,1.34483,0.87929,0.91855,0.94503,0.68994,0.97001,0.6116,1.52932,0.0005248,0.0005248,0.0005248
50,46224.4,0.8419,0.68323,1.34104,0.88409,0.88145,0.9318,0.68442,0.9787,0.61098,1.53072,0.0005149,0.0005149,0.0005149
51,46809.9,0.83093,0.68377,1.32657,0.87455,0.89799,0.91879,0.67531,0.96316,0.61662,1.52994,0.000505,0.000505,0.000505
52,47397.7,0.84847,0.6922,1.33721,0.92193,0.9051,0.93027,0.71376,0.90057,0.54752,1.46551,0.0004951,0.0004951,0.0004951
53,48001.1,0.81747,0.66778,1.31297,0.91961,0.89162,0.92743,0.68551,0.94174,0.56514,1.50498,0.0004852,0.0004852,0.0004852
54,48615.3,0.81821,0.66163,1.31004,0.86308,0.90013,0.93089,0.70119,0.9264,0.63569,1.48645,0.0004753,0.0004753,0.0004753
55,49199,0.81261,0.6818,1.32088,0.89661,0.92335,0.9241,0.68741,0.91795,0.58302,1.47748,0.0004654,0.0004654,0.0004654
56,49828,0.84843,0.68058,1.34267,0.89719,0.91503,0.93606,0.65829,1.01897,0.57881,1.57107,0.0004555,0.0004555,0.0004555
57,50509.1,0.82532,0.6673,1.32555,0.85259,0.92031,0.92048,0.67146,1.02506,0.6236,1.61503,0.0004456,0.0004456,0.0004456
58,51167.4,0.80841,0.64195,1.31005,0.92464,0.89032,0.94363,0.692,0.97816,0.57831,1.53453,0.0004357,0.0004357,0.0004357
59,51891.3,0.81512,0.64392,1.32339,0.91668,0.89053,0.94051,0.69119,0.94864,0.59562,1.50485,0.0004258,0.0004258,0.0004258
60,52563.7,0.81193,0.64659,1.31244,0.89623,0.92087,0.94183,0.69003,0.9069,0.56943,1.45744,0.0004159,0.0004159,0.0004159
61,53212.6,0.78347,0.61782,1.29669,0.92521,0.91391,0.93962,0.69821,0.92308,0.54742,1.48204,0.000406,0.000406,0.000406
62,53839.3,0.81106,0.62966,1.30879,0.90159,0.92239,0.94794,0.72627,0.88948,0.5707,1.44951,0.0003961,0.0003961,0.0003961
63,54551.5,0.79087,0.62939,1.30022,0.89363,0.88799,0.92598,0.69407,0.90711,0.5548,1.45693,0.0003862,0.0003862,0.0003862
64,55212.1,0.7819,0.61943,1.28852,0.86707,0.93912,0.93147,0.69396,0.92652,0.56426,1.5141,0.0003763,0.0003763,0.0003763
65,55877.7,0.78071,0.62133,1.2833,0.88175,0.93706,0.94196,0.70565,0.91179,0.51959,1.46956,0.0003664,0.0003664,0.0003664
66,56582.4,0.77406,0.62777,1.28731,0.91161,0.91594,0.93765,0.70566,0.91786,0.56353,1.49406,0.0003565,0.0003565,0.0003565
67,57215.9,0.76968,0.61298,1.28547,0.93993,0.89923,0.94432,0.69929,0.94508,0.52296,1.49247,0.0003466,0.0003466,0.0003466
68,57795.6,0.77128,0.60305,1.28536,0.90076,0.90574,0.93474,0.70565,0.88485,0.53323,1.45061,0.0003367,0.0003367,0.0003367
69,59013.8,0.77526,0.60451,1.2902,0.91247,0.9023,0.93015,0.69681,0.92537,0.53431,1.48553,0.0003268,0.0003268,0.0003268
70,60394.8,0.74976,0.59694,1.26449,0.92873,0.88315,0.93596,0.69996,0.89955,0.53399,1.47503,0.0003169,0.0003169,0.0003169
71,61303.7,0.74957,0.59208,1.27244,0.88889,0.88396,0.93471,0.70014,0.91943,0.59317,1.47426,0.000307,0.000307,0.000307
72,61887.1,0.74559,0.58829,1.26229,0.94552,0.91524,0.94055,0.70605,0.95033,0.51929,1.514,0.0002971,0.0002971,0.0002971
73,62475.2,0.75738,0.58274,1.26785,0.92733,0.90774,0.93698,0.70314,0.91327,0.53151,1.46721,0.0002872,0.0002872,0.0002872
74,63057.6,0.74834,0.58498,1.27264,0.93743,0.89953,0.95132,0.72194,0.9009,0.50388,1.46545,0.0002773,0.0002773,0.0002773
75,63649.4,0.76544,0.60082,1.28197,0.90797,0.94247,0.95437,0.70902,0.89944,0.54386,1.46652,0.0002674,0.0002674,0.0002674
76,64225.3,0.7424,0.57784,1.25614,0.91199,0.9265,0.94056,0.70861,0.90968,0.52938,1.48516,0.0002575,0.0002575,0.0002575
77,64795.5,0.73929,0.57386,1.25405,0.91444,0.9272,0.93861,0.71256,0.89879,0.50909,1.47377,0.0002476,0.0002476,0.0002476
78,65368.3,0.72673,0.56147,1.24644,0.91519,0.9304,0.94454,0.70502,0.90839,0.51117,1.49828,0.0002377,0.0002377,0.0002377
79,65941.8,0.71932,0.54749,1.23843,0.90959,0.9261,0.93999,0.71247,0.90344,0.53191,1.48421,0.0002278,0.0002278,0.0002278
80,66519.2,0.71706,0.56423,1.24864,0.93236,0.9235,0.9374,0.71722,0.89899,0.50563,1.47878,0.0002179,0.0002179,0.0002179
81,67098.4,0.72004,0.55901,1.2487,0.92807,0.91521,0.94681,0.71322,0.8909,0.53414,1.46745,0.000208,0.000208,0.000208
82,67681.5,0.72443,0.5547,1.24957,0.91761,0.92392,0.94551,0.71764,0.89613,0.50567,1.46881,0.0001981,0.0001981,0.0001981
